date,hs_code,product_description,consignee,shipper,Notify Party Name,std_qty,std_unit,gross_weight,qty,unit,unit_rate_usd,value_usd,origin_country,origin_port,dest_country,dest_port,Bill of Lading,shipment_mode,measurement,Actual Duty,Port of Delivery,Container TEU,Freight Term,Marks Number,Consignee Address,Shipper Address,Notify Party Address,hs_description,source_country_field,month,direction,hs2,hs4,commodity,source_file,currency_detected,unit_rate_norm_usd,value_norm_usd
2024-09-09 00:00:00,73110099,"Gas Tank   (Used)  , Capacity 150-180 L, Working Pressure 14 Bar, Cylindrical Shape Made Of Stainless Steel   (Used To Contain Liquid Argon Item 1 Tk 106555348800 E13)  . Unit = Tank",Sei Electronic Components Vietnam Ltd,Cong Ty Tnhh Tomoe Vietnam,,1.0,ADMT,720.0,1.0,UNT,2458.00901,2458.00901,Japan,Not Available,Vietnam,Not Available,,-,-,0,-,-,-,-,"Plot C6, Thang Long Industrial","Lo 10, Duong TS27, KCN Tien Son",,nan,Vietnam T3  Import,2024-09-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,2458.00901,2458.00901
2024-10-31 00:00:00,73110091,"Air Tank ,  Desktop Type ,  Rectangular Steel Box Shape ,  Capacity 1800Ml ,  Maximum Working Pressure 0.8Mpa ,  Model: Dpt-T18-Vp ,  S-N: E 11L ,  Konagei Brand ,  Used",Senshu Electric Vietnam Co. Ltd.,Ctk Corporation,,1.0,NOS,31.1,1.0,PCE,100.02248,100.02248,Japan,Narita Apt Tokyo,Vietnam,Hanoi,,-,-,0,-,-,-,-,24th Floor Block B Song Da Building Pham Hung Street My Dinh 1 Ward Nam Tu Lien District,4F 2-28-14 Minami-Ikebukuro 2-28-14 Minami-Ikebukuro,,nan,Vietnam T3  Import,2024-10-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,100.02248,100.02248
2024-10-04 00:00:00,73110099,"Empty Steel Tank Containing Liquefied Petroleum Gas Cn  (Lin-Lox-Lar)  , Does Not Contain Lpg, Not Mounted On Vehicles, S-N: Vt-15-2001-17Cs, Capacity 15,000L, Pressure 17Bar, Manufacturer: Taylor-Wharton, 100% New",Messer Vietnam Industrial Gases Co Ltd,Taylor Wharton Beijing Cryogenic Equipment Co Ltd,,1.0,NOS,17830.0,1.0,PCE,29750.0,29750.0,China,Xingang,Vietnam,Not Available,,-,-,0,-,-,-,-,No. 21 Street 3 Vietnam Singapore Industrial Park,"East End of Ping An Street, Xianghe Economic Development Zone",,nan,Vietnam T3  Import,2024-10-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,29750.0,29750.0
2024-12-23 00:00:00,73110099,"Hollow Steel Tank For Storing Liquefied Gas; Model: Dpw650-500-2.5; Volume: 500L; Pressure: 2.5Mpa. Manufacturer: Jinan Deyang Cryogenic Technology Co. , Ltd , 100% New",Bao Toan Industrial Gas Company Ltd.,"Jinan Deyang Cryogenic Technology Co., Ltd.",,12.0,NOS,5496.0,12.0,NOS,1924.0,23088.0,China,Qingdao,Vietnam,Not Available,,-,-,0,-,-,-,-,Provincial Road 830C Hamlet 2 - Tan Buu Commune - Ben Luc District,"South of Yangzhuangpu, North of Yuyang Road",,nan,Vietnam T3  Import,2024-12-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,1924.0,23088.0
2024-12-05 00:00:00,73110099,"Empty Tank Used To Store Industrial Gas = Steel. Area: 21 , 400L , Model: Tca21A. Manufacturer: 2019- Cryogenic Iso Tank   (Empty)  . Not Certified According To Point 2 , Section 2 , Circular: 01-2021-Tt-Bldtbxh. Used Goods.",Nippon Sanso Vietnam Joint Stock Co.,Sun Royal Ltd.,,1.0,NOS,10000.0,1.0,NOS,43500.0,43500.0,China,OP Singapore,Vietnam,Not Available,,-,-,0,-,-,-,-,No. 333A Street Bien Hoa II Industrial Park An Binh Ward,801 5-7-12 Ohtsuka Bunkyoku,,nan,Vietnam T3  Import,2024-12-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,43500.0,43500.0
2024-12-19 00:00:00,73110099,"Steel Tank   (Non-Seamless Tank Container)   Capacity 21 , 000 Liters , P=22 Bar , Used To Contain Dinito Monoxide Gas   (N20)   , Used. Tank Number: Lgau0226072 , Dinito Monoxide Declaration Number: 106810426920-A11",Goldsun Food Technology Co. Ltd.,Linggas Materials Tianjin Ltd,,1.0,NOS,21000.0,1.0,NOS,80000.0,80000.0,China,Qingdao,Vietnam,Not Available,,-,-,0,-,-,-,-,528 Hung Vuong Street Hung Vuong Ward Hong Bang District,"Gangda Rd, Nangang Industrial Zone, Binghai New District",,nan,Vietnam T3  Import,2024-12-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,80000.0,80000.0
2024-12-04 00:00:00,73110099,"Gas Tank   (Used)   , Capacity 150-180 L , Working Pressure 14 Bar , Cylindrical Shape Made Of Stainless Steel   (Used To Contain Liquid Argon Item 1 Tk 106777194420 E13)  . Unit = Tank",Sei Electronics Components Vietnam Ltd,Cong Ty Tnhh Tomoe Vietnam,,1.0,UNT,720.0,1.0,UNT,2379.15857,2379.15857,Japan,Not Available,Vietnam,Not Available,,-,-,0,-,-,-,-,,"Lo So 10, Duong TS 27, KCN Tien Son",,nan,Vietnam T3  Import,2024-12-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,2379.15857,2379.15857
2024-12-10 00:00:00,73110099,"Gas Tank   (Used)   , Capacity 150-180 L , Working Pressure 14 Bar , Cylindrical Shape Made Of Stainless Steel   (Used To Contain Liquid Argon Item 1 Tk 106791691420 E13)  . Unit = Tank",Sei Electronics Components Vietnam Ltd,Cong Ty Tnhh Tomoe Vietnam,,1.0,UNT,820.0,1.0,UNT,2379.15857,2379.15857,Japan,Not Available,Vietnam,Not Available,,-,-,0,-,-,-,-,,"Lo So 10, Duong TS 27, KCN Tien Son",,nan,Vietnam T3  Import,2024-12-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,2379.15857,2379.15857
2024-11-26 00:00:00,73110099,"Gas Tank   (Used)   , Capacity 150-180 L , Working Pressure 14 Bar , Cylindrical Shape Made Of Stainless Steel   (Used To Contain Liquid Argon Item 1 Tk 106753065310 E13)  . Unit = Tank",Sei Electronics Components Vietnam Ltd,Cong Ty Tnhh Tomoe Vietnam,,1.0,UNT,820.0,1.0,UNT,2380.95238,2380.95238,Japan,Not Available,Vietnam,Not Available,,-,-,0,-,-,-,-,,"Lo 10, Duong TS27, KCN Tien Son, Phuong Tan Hong",,nan,Vietnam T3  Import,2024-11-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,2380.95238,2380.95238
2024-10-29 00:00:00,73110099,"Gas Tank   (Used)  , Capacity 150-180 L, Working Pressure 14 Bar, Cylindrical Shape Made Of Stainless Steel   (Used To Contain Liquid Argon Item 1 Tk 106682887400 E13)  . Unit = Tank",Sei Electronics Components Vietnam Ltd,Cong Ty Tnhh Tomoe Vietnam,,1.0,UNT,520.0,1.0,UNT,2399.04038,2399.04038,Japan,Not Available,Vietnam,Not Available,,-,-,0,-,-,-,-,,"Lo 10, Duong TS27, KCN Tien Son, Phuong Tan Hong",,nan,Vietnam T3  Import,2024-10-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,2399.04038,2399.04038
2024-09-04 00:00:00,73110099000,1 Set Cryogenic Liquid Storage Tank Cfl-20-1.6,"Handog Industrial Gases, Distributor Inc.",Guangzhou Chuankong,,1.0,PKG,10672.0,1.0,UNT,21063.0,21063.0,China,Not Available,Philippines,Not Available,HDMUSHAZ28821900,-,-,-,-,-,-,-,"Armela Compd Km.17 West Service Rd. SSH Marcelo, Green Vill",,,nan,PhilippinesComplete T3  Import,2024-09-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,21063.0,21063.0
2024-10-20 00:00:00,73110000,Liquid Nitrogen Tank 2 Sets -Tanks,Spacebill Consultants Ltd,Uangzhou Gloryman Import,,176.027,KGS,380.217,176.027,KGS,172.575491259864,30377.946,China,Not Available,South Sudan,Not Available,-,-,-,2973490.733,-,-,-,-,,,,CONTAINERS FOR COMPRESSED OR LIQUEFIED GAS OF IRON OR STEEL.,SouthSudan T3  Import,2024-10-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,172.575491259864,30377.946
2024-12-10 00:00:00,7311009900,1 Unit Cryogenic Storage Tank S/N: Mh 7429,Eleet Cryogenics Inc,Taylorwharton Malaysia Sdn. Bhd.,,12905.0,KGS,0.0,12905.0,KGS,4.24,54727.13,Malaysia,Not Available,United States,Not Available,0,-,-,0,-,-,-,-,660 Conroe Park North Drive,,,"Containers for compressed or liquefied gas, of iron or steel., Other",Malaysia T3  Export,2024-12-01,Export,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,4.24,54727.13
