date,hs_code,product_description,qty,unit,unit_rate_usd,value_usd,currency_detected,unit_rate_norm_usd,value_norm_usd,origin_country,dest_country,source_file
2024-11-12,73110099,"Empty Steel Tank For Storing Liquid Nitrogen With A Capacity Of ~ 13 , 000L , Manufacturer: Vrv Asia Pacific Private Limited , Serial: 24T3798. 100% New.   (1 Set = 1 Pce)     (Unit Price: 2 , 400 , 000 , 000 Vnd)   Temporarily Exported For Rent#&In",1.0,SET,95238.09523,95238.09523,vnd,3.968253967916667,3.968253967916667,Vietnam,Vietnam,7311_tanks_only.xlsx
2025-04-15,7311009900,"Lpg Gas Tank System With Volume Of 19.8 Cubic Mtrs = 19800 Liters   (Can Hold 9.5 Tons Of Lpg)   , Synchronous Components Included   (Removable)   , Cylindrical Steel , Horizontal , 100% New ,   (Unit Price: 1 , 208 , 900 , 000 Vnd)",1.0,SET,47204.2171,47204.2171,vnd,1.9668423791666667,1.9668423791666667,Vietnam,Vietnam,7311_tanks_only.xlsx
2024-10-04,73110025,"Ps-24-021#&Lpg Gas Tank Made Of Carbon Steel Sa516-Gr70  (No Gas)  ,Volume:44.68M3,Gas Pressure:18Kg-Cm2,Serial:Ps-24-021,Body-Cap Thickness  (16Mm-18Mm)  ,  (Unit Price:01 Piece-Vnd 4,850,000,000)",1.0,PCE,193922.43102,193922.43102,vnd,8.0801012925,8.0801012925,Vietnam,Vietnam,7311_tanks_only.xlsx
2025-06-02,7311009900,"Empty Tank , Carbon Steel Shell , Sus304 Stainless Steel Core , For Storing Liquefied Industrial Gas , S-N: 25Dg50B-03 , Capacity 49220 L , Working Pressure 17Barg , Size 2980Mmx12860Mm , 100% New   (Unit Price: 1 , 618 , 125 , 000 Vnd)",1.0,NOS,62620.9365,62620.9365,vnd,2.6092056875000003,2.6092056875000003,Vietnam,Vietnam,7311_tanks_only.xlsx
2025-05-30,7311009900,"Empty Steel Tank For Storing Liquid N2 , Capacity ~3 , 000L     (2.99M3)     , Manufacturing Number: R2021-S-241 , Equipment Number: 215010N91202100241     (1 Set: 1 100% New Tank + Used Accessories)    _[Lcd0009597] , Price: 1 , 123 , 200 , 000 Vnd",1.0,SET,43551.7642,43551.7642,vnd,1.8146568416666666,1.8146568416666666,China,Vietnam,7311_tanks_only.xlsx
2025-05-29,73110099,"Empty Tank For Storing Liquid N2 With A Capacity Of ~3 , 000L Guangzhou Chuankong General Equipment Co. , Ltd. Equipment Number 215010N91202100241   (New Tank)   And Related Equipment According To The Attached List.   (Unit Price: 1 , 123 , 200 Vnd)",1.0,SET,43551.7642,43551.7642,vnd,1.8146568416666666,1.8146568416666666,Vietnam,Vietnam,7311_tanks_only.xlsx
2025-07-15,7311009900,"Lpg Tank 100M3, Design Pressure: 18 Kg/Cm2, Steel, Volume 100M3, Inner Diameter 3.2M; Length 12.5M, Invoice Price: 1,680,000,000 Vnd, 100% New Product",1.0,NOS,64789.8187,64789.8187,vnd,2.699575779166667,2.699575779166667,Vietnam,Vietnam,7311_tanks_only.xlsx
2024-09-05,73110099,"Liquefied Nitrogen Gas Tank ,  Production Number: C290331 ,  Steel Material ,  Size 2500Mm X 10035 Mm ,  Capacity 23660 L ,  Maximum Working Pressure 17 Bar. Used Goods. Unit Price: 1 , 728 , 000 , 000 Vnd-Set.",1.0,SET,70790.65956,70790.65956,vnd,2.949610815,2.949610815,India,Vietnam,7311_tanks_only.xlsx
2025-04-16,7311009900,"562#&Lpg Gas Tank System With Volume Of 19.8 Cubic Mtrs = 19800 Liters   (Can Hold 9.5 Tons Of Lpg)   , Synchronous Components Included   (Removable)   , Non-Solid Cast Steel Cylinder ,   (Unit Price: 1 , 208 , 900 , 000 Vnd)   , 100% New",1.0,SET,47204.2171,47204.2171,vnd,1.9668423791666667,1.9668423791666667,Vietnam,Vietnam,7311_tanks_only.xlsx
2025-03-24,7311002900,"Lng Tank , Volume 50M3; Pressure 15.9-8Bar Standard: Asme , Design Temperature: -195-50. 100% New#&Cn 1 , 295 , 168 , 000 Vnd-Pce",1.0,NOS,51031.0481,51031.0481,vnd,2.1262936708333333,2.1262936708333333,China,Vietnam,7311_tanks_only.xlsx
2024-12-24,73110099,"Lpg 20-Ton Liquefied Petroleum Gas Tank System , Horizontal Cylinder Made Of Welded Steel Plate , Tank Capacity 44M3 , Including Accessories. 100% New   (Unit Price: 2 , 399 , 160 , 000 Vnd)  #&Vn",1.0,SET,95133.03461,95133.03461,vnd,3.9638764420833335,3.9638764420833335,Vietnam,Vietnam,7311_tanks_only.xlsx
2024-12-27,73110099,"Lpg 20-Ton Liquefied Petroleum Gas Tank System , Horizontal Cylinder Made Of Welded Steel Plate , Tank Capacity 44M3 , Including Accessories. 100% New   (Unit Price: 2 , 399 , 160 , 000 Vnd)",1.0,SET,95133.03461,95133.03461,vnd,3.9638764420833335,3.9638764420833335,Vietnam,Vietnam,7311_tanks_only.xlsx
2025-03-06,7311009900,"Tscd162#&Cold Liquid   (Liquefied Gas)   Tank Cfl-30-1.58 Made Of Steel , Series:Ncee21G02426 , D-Tich30000L , Design Pressure: 1.63Mpa , Manufacturer: Nantong Cimc Energy Equipment Co. , Manufacturer: 2021. Price: 1100000000 Vnd. 100% New",1.0,NOS,43341.2136,43341.2136,vnd,1.8058839000000002,1.8058839000000002,China,Vietnam,7311_tanks_only.xlsx
2025-07-02,7311009900,"N2 Gas Compressor Tank (5M2), Dimensions: D1400 X 3900 Working Pressure 15Kg/Cm2, As Test 22.5Kg/Cm2, Ss400 Steel Body 12Mm Thick Used In Electronic Components Factory (Unit Price: 72,000,000 Vnd)",1.0,NOS,2776.7065,2776.7065,vnd,0.11569610416666666,0.11569610416666666,Vietnam,Vietnam,7311_tanks_only.xlsx
2024-12-04,73110099,"Empty Tank For Storing Liquid N2 20 , 000L   (Actual Capacity 19290L)   Cryolor Asia Pacific Pvt And Detaileded Synchronous Equipment According To The Attached List.   (Unit Price: 2 , 550 , 000 , 000 Vnd)  #&In",1.0,SET,101114.23926,101114.23926,vnd,4.2130933025,4.2130933025,Vietnam,Vietnam,7311_tanks_only.xlsx
2025-06-04,73110099,"Empty Tank , Carbon Steel Shell , Sus304 Stainless Steel Core , For Storing Liquefied Industrial Gas , S-N: 25Dg50B-03 , Capacity 49220 L , Working Pressure 17Barg , Size 2980Mmx12860Mm , 100% New   (Unit Price: 1 , 618 , 125 , 000 Vnd)  #&Cn",1.0,NOS,62620.9365,62620.9365,vnd,2.6092056875000003,2.6092056875000003,China,Vietnam,7311_tanks_only.xlsx
2025-02-18,7311009900,"Liquefied Argon Gas Tank , Manufacturing Number: C270614 , Steel Material , Size 2200Mmx7660Mm , Capacity 14910L , Maximum Working Pressure 17 Bar. Rental Price: 15 , 195 , 000 Vnd-Month. 100% New",1.0,SET,35964.49704,35964.49704,vnd,1.49852071,1.49852071,India,Vietnam,7311_tanks_only.xlsx
2024-09-23,73110025,"Htgas1#&Gas Tank   (Liquefied Petroleum Gas)   Capacity 63M3 ,  Cylindrical Shape Made Of Cast Steel ,  Used To Contain Gas In The Production Of Metal Products ,  100% New; Unit Price: 670 , 000 , 000 Vnd",1.0,PCE,27447.7673,27447.7673,vnd,1.1436569708333333,1.1436569708333333,Vietnam,Vietnam,7311_tanks_only.xlsx
2025-03-03,73110099,"Cfl-30-1.58 Cold Liquid   (Liquefied Gas)   Tank Made Of Steel , Series:Ncee21G02426 , Capacity 30000 Liters , Design Pressure: 1.63Mpa , Manufacturer: Nantong Cimc Energy Equipment Co. , Ltd , Manufacturer: 2021. Price: 1100000000 Vnd#&Cn",1.0,NOS,43341.2136,43341.2136,vnd,1.8058839000000002,1.8058839000000002,Vietnam,Vietnam,7311_tanks_only.xlsx
2025-02-17,73110099,"Liquefied Argon Gas Tank , Manufacturing Number: C270614 , Steel Material , Size 2200Mmx7660Mm , Capacity 14910L , Maximum Working Pressure 17 Bar. Rental Price: 15 , 195 , 000 Vnd-Month. 100% New Product#&In",1.0,SET,35964.49704,35964.49704,vnd,1.49852071,1.49852071,Vietnam,Vietnam,7311_tanks_only.xlsx
2024-10-03,73110025,"Lpg Liquefied Gas Tank, Made Of Carbon Steel Sa516-Gr70   (No Gas)  , Body-Top Thickness   (16Mm-18Mm)  , Serial: Ps-24-021, Pressure: 18 Kg-Cm2, Volume 44.68M3, 100% New.   (Unit Price 1 Piece: 4850000000 Vnd)  #&Vn",1.0,PCE,193922.43102,193922.43102,vnd,8.0801012925,8.0801012925,Vietnam,Vietnam,7311_tanks_only.xlsx
2024-12-13,73110099,"Empty Tank#&Empty Tank Used To Contain Liquid N2 20 , 000L   (Actual Capacity 19290L)   Cryolor Asia Pacific Pvt And Detaileded Synchronous Equipment According To The Attached List.   (Unit Price: 2 , 550 , 000 , 000 Vnd)  . 100% New Product",1.0,SET,101114.23926,101114.23926,vnd,4.2130933025,4.2130933025,India,Vietnam,7311_tanks_only.xlsx
2024-09-23,84195010,"Cooling Tower ,  Brand: Liang Chi ,  Model: Lvn-5L50-C ,  L-L 879M3-H ,  3-Phase Voltage 380V 50Hz ,  Fan Address 15Hpx4P ,  Cooling Capacity 4 , 395 , 000 Kcal-Hr ,  100% New ,  D-G: 1 , 097 , 649 , 300Vnd#&Cn",3.0,PCE,1097649300.0,3292947900.0,vnd,45735.3875,137206.16249999998,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-18,84195010,"Cooling Tower - Cooling Tower ,  Item Code: Tcs 450B-2Br ,  Power: 2 X 5.5 Kw ,  Unit Price: 499 , 884 , 200 Vnd-Set#&My",2.0,SET,499884200.0,999768400.0,vnd,20828.508333333335,41657.01666666667,Vietnam,Vietnam,84195010 (1).xlsx
2024-12-17,84195010,"Cooling Tower , Model L-5120-Cs , To Cool The Inside Of The Factory And The Air Conditioning System , Cooling Capacity 4 , 395 , 000Kcal-H , Fan Motor: 15Hp , 50Hz-380V , Liangchi Brand. Unit Price: 1 , 097 , 649 , 300 Vnd-Pc#&Cn",3.0,NOS,43524.69566,130574.08698,vnd,1.8135289858333332,5.4405869575,Vietnam,Vietnam,84195010 (1).xlsx
2025-03-11,8419501000,"Cooling Tower;   (Cooling Tower For Chiller System)   Model: Lvn-5250-C3  (S)   , Brand: Liangchi , Response: 380V-18.5 Kw , Manufactured: 2025 , Used In Year , 100% New   (1Set=1Pce)   , Unit Price 1 , 304 , 380 , 000 Vnd",2.0,SET,51394.01103,102788.02206,vnd,2.14141712625,4.2828342525,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-18,84195010,"Cooling Tower Model: Glx-200T ,  Voltage 380V ,  Capacity 7.5Kw ,  Brand: Guang Lin ,  Year Of Manufacture 2024 ,  Pvc Plastic Heat Sink ,  Used To Cool Water For Central Air Conditioning System. 100% New.#&Cn",1.0,SET,292475000.0,292475000.0,vnd,12186.458333333334,12186.458333333334,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-26,84195010,"Sample Cooler   (Cooling Tower)  , Made Of Steel, Mounted Directly On The Boiler Body, Inlet And Outlet Pipe Diamtr: 15Mm, 15Mm, Used To Take Samples And Reduce Water Temperature In The Boiler, Ici Caldaie Brand, 100% New. #&Vn.",1.0,PCE,102645070.0,102645070.0,vnd,4276.877916666666,4276.877916666666,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-17,84195010,"Cooling Tower Model Lbc-175Rt ,  Capacity 5Hp ,  682500Kcal-H ,  Size: 2485X3300Mm   (  (Spare Part Of Industrial Freezer Chamber)   100% New #&Vn",1.0,UNT,219666000.0,219666000.0,vnd,9152.75,9152.75,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-25,84195010,"Ingersoll Rand Aftercooler-Ysfr210692 Radiator   (1 Piece-Set)  , Capacity 2Kw. 100% New.#&Cn",1.0,SET,282978400.0,282978400.0,vnd,11790.766666666666,11790.766666666666,Vietnam,Vietnam,84195010 (1).xlsx
2024-10-18,84195010,"Thap#&Cooling Tower Used In Factories ,  Model Rt-150L ,  380V-5.5Kw ,  No Brand ,  Manufacturer Shen Zhen Zhizhi Evergreen Technology ,  Year 2024 ,  Synchronous Product With Hys Attached. 100% New-Unit Price 3 , 541 , 598 , 375 Vnd",1.0,SET,141607.29208,141607.29208,vnd,5.900303836666668,5.900303836666668,China,Vietnam,84195010 (1).xlsx
2024-09-18,84195010,"Tcs-450B-2Br#&Cooling Tower - Cooling Tower ,  Item Code: Tcs 450B-2Br ,  Power: 2 X 5.5 Kw ,  Unit Price: 499 , 884 , 200 Vnd-Set",2.0,SET,499884200.0,999768400.0,vnd,20828.508333333335,41657.01666666667,Malaysia,Vietnam,84195010 (1).xlsx
2025-03-26,8419501000,"Lrc-N-350-C4  (S)   Cooling Tower , Function: Water Cooling , Voltage: 380V , 3 Phase , 50Hz , Disassembled Synchronous Goods , Nh: Liang Chi , Sn: 20250320-04 , Unit Price: 1 , 027 , 000 , 000 Vnd , 100% New , Manufactured In 2025",1.0,SET,40464.93301,40464.93301,vnd,1.6860388754166666,1.6860388754166666,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-10,84195010,"Cooling Tower ,  Model Lyt-20 ,  Voltage 380V-0.55Kw ,  Manufacturer: Lingyan Jidan. 100% New#&Cn",1.0,PCE,12222000.0,12222000.0,vnd,509.25,509.25,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-20,84195010,"Cooling Tower ,  Model Lhr-300Lx2 ,  C-S: 11X2 Kw ,  Voltage 380V-50Hz ,  Exhaust Fan Diamtr: 2800 Mm. Air Flow: 300X2M3-H ,  Brand Linghuo. 100% New#&Cn",2.0,PCE,374948000.0,749896000.0,vnd,15622.833333333334,31245.666666666668,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-25,84195010,"Ingersoll Rand Aftercooler-Ysfr210692 Radiator   (1 Piece-Set)  , Capacity 2Kw. 100% New.#&Cn",1.0,SET,282978400.0,282978400.0,vnd,11790.766666666666,11790.766666666666,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-05,84195010,"Square Closed Type Cooling Tower At-01~02Ll: 65M3-H ,  Water Inlet-Outlet Temperature: 42-32 Degrees C ,  Wet Air Inlet Temperature: 29 Degrees C ,  3 Phase-380V-50Hz ,  Used To Reduce The Temperature Of Water Flow In Hvac System#&Vn",1.0,PCE,186960000.0,186960000.0,vnd,7790.0,7790.0,Vietnam,Vietnam,84195010 (1).xlsx
2024-12-31,84195010,"Ts#&Cooling Tower Nhp-500-2 Cooling Tower-101A-B-C Cooling Tower-101A-B-C.Cs 1000Rt , Reduces The Heat Of Machinery During The Production Process , Based On The Evaporation Of Water   (Unit Price: 1 , 292 , 102 , 000 Vnd)",2.0,SET,51235.25913,102470.51826,vnd,2.13480246375,4.2696049275,South Korea,Vietnam,84195010 (1).xlsx
2024-10-28,84195010,"Industrial Water Chiller Cvhg1100 ,  Capacity: 757.5 Kw- 10000V- 50Hz ,  Water Temperature: 7-12 Degrees ,  Brand: Trane. Unit Price: 10 , 572 , 027 , 120 Vnd",1.0,PCE,422712.0,422712.0,vnd,17.613,17.613,China,Vietnam,84195010 (1).xlsx
2025-06-10,8419501000,"Cooling Tower   (Cooling Tower)   , Model Kdc-D3670A-Glu-C5 , Used In Industry , No Electronic Circuit Board , No Peripheral Devices , Voltage 380V , Capacity 1915Rt , Unit Price: 6145833500 Vnd",1.0,UNT,237749.84526,237749.84526,vnd,9.9062435525,9.9062435525,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-23,84195010,"Cooling Tower ,  Brand: Liang Chi ,  Model: Lvn-5L50-C ,  L-L 879M3-H ,  3-Phase Voltage 380V 50Hz ,  Fan Address 15Hpx4P ,  Cooling Capacity 4 , 395 , 000 Kcal-Hr ,  100% New ,  D-G: 1 , 097 , 649 , 300Vnd#&Cn",3.0,PCE,1097649300.0,3292947900.0,vnd,45735.3875,137206.16249999998,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-18,84195010,"Cooling Tower - Cooling Tower ,  Item Code: Tcs 600C-2B ,  Power: 2 X 7.5 Kw ,  Unit Price: 704 , 660 , 100 Vnd-Set#&My",2.0,SET,704660100.0,1409320200.0,vnd,29360.8375,58721.675,Vietnam,Vietnam,84195010 (1).xlsx
2024-10-17,84195010,"Cooling Tower Used In Factory ,  Model Rt-150L ,  380V-5.5Kw ,  No Brand ,  Manufacturer Shen Zhen Zhizhi Evergreen Technology Co.Ltd ,  Year 2024 ,  Synchronous Product Disassembled Hys Attached. 100% New-Unit Price 3 , 541 , 598 , 375 Vnd#&Cn",1.0,SET,141607.29208,141607.29208,vnd,5.900303836666668,5.900303836666668,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-20,84195010,"Cooling Tower ,  Model Lhr-300Lx2 ,  C-S: 11X2 Kw ,  Voltage 380V-50Hz ,  Exhaust Fan Diamtr: 2800 Mm. Air Flow: 300X2M3-H ,  Brand Linghuo. 100% New#&Cn",2.0,PCE,374948000.0,749896000.0,vnd,15622.833333333334,31245.666666666668,Vietnam,Vietnam,84195010 (1).xlsx
2024-10-28,84195010,"Industrial Water Chiller Cvhg1100 ,  Capacity: 757.5 Kw- 10000V- 50Hz ,  Water Temperature: 7-12 Degrees ,  Brand: Trane. Unit Price: 10 , 572 , 027 , 120 Vnd",1.0,PCE,422712.0,422712.0,vnd,17.613,17.613,China,Vietnam,84195010 (1).xlsx
2024-11-19,84195010,"Thap#&Cooling Tower Used For Cooling In Factories , Model Rt-150L , 380V-5.5Kw , Brand Soxi , Manufacturer Guangdong Soxi Intelligent Equipment , Year 2024. 100% New-Unit Price 6 , 038 , 330 , 275 Vnd",1.0,SET,239616.28075,239616.28075,vnd,9.984011697916667,9.984011697916667,China,Vietnam,84195010 (1).xlsx
2024-09-19,84195010,"Tb20#&Cooling Tower Model Lbc-175Rt ,  Capacity 5Hp ,  682500Kcal-H ,  Size: 2485X3300Mm   (Spare Part Of Industrial Freezer Chamber)   100% New",1.0,PCE,219666000.0,219666000.0,vnd,9152.75,9152.75,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-19,84195010,"Ds-Ccdc#&Cooling Tower Model: Glx-200T ,  Voltage 380V ,  Capacity 7.5Kw ,  Brand: Guang Lin ,  Manufacturer: 2024 ,  Pvc Plastic Heat Sink ,  Used To Cool Water For Central Air Conditioning Systems. 100% New",1.0,SET,292475000.0,292475000.0,vnd,12186.458333333334,12186.458333333334,China,Vietnam,84195010 (1).xlsx
2024-09-18,84195010,"Cooling Tower - Cooling Tower ,  Item Code: Tcs 450B-2Br ,  Power: 2 X 5.5 Kw ,  Unit Price: 499 , 884 , 200 Vnd-Set#&My",2.0,SET,499884200.0,999768400.0,vnd,20828.508333333335,41657.01666666667,Vietnam,Vietnam,84195010 (1).xlsx
2024-10-28,84195010,"Industrial Water Chiller Cvhg1100 ,  Capacity: 757.5 Kw- 10000V- 50Hz ,  Water Temperature: 7-12 Degrees ,  Brand: Trane. Unit Price: 10 , 572 , 027 , 120 Vnd#&Cn",1.0,PCE,422712.0,422712.0,vnd,17.613,17.613,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-26,84195010,"Cooling Tower, Lvn-5150-C3  (S)  , To Cool The Inside Of The Factory And The Air Conditioning System, Cooling Capacity 4,395,000Kcal-H, Fan Motor: 15Hp, 50Hz-380V, Liangchi Brand, Manufacturer: 2023, Price: 1,097,649,300 Vnd",1.0,PCE,1097649300.0,1097649300.0,vnd,45735.3875,45735.3875,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-30,84195010,"Lbc-60Rt#&Cooling Tower ,  Model: Lbc60Rt ,  Cooling Capacity: 234 , 000Kcal-Hr ,  Voltage: 380V ,  3 Phase ,  50Hz ,  Manufacturer: Liang Chi ,  Manufacturer: 2024   (Used To Lower Water Temperature Of Casting Machine)  . 100% New",2.0,SET,35000000.0,70000000.0,vnd,1458.3333333333333,2916.6666666666665,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-25,84195010,"Cooling Tower ,  Brand: Liang Chi ,  Model: Lvn-5L50-C ,  L-L 879M3-H ,  3-Phase Voltage 380V 50Hz ,  Fan Address 15Hpx4P ,  Cooling Capacity 4 , 395 , 000 Kcal-Hr ,  100% New ,  D-G: 1 , 097 , 649 , 300Vnd",3.0,PCE,1097649300.0,3292947900.0,vnd,45735.3875,137206.16249999998,China,Vietnam,84195010 (1).xlsx
2025-06-10,8419501000,"Cooling Tower   (Cooling Tower)   , Model Kdc-D3670A-Glu-C2 , Used In Industry , No Electronic Circuit Board , No Peripheral Devices , Voltage 380V , Capacity 766Rt , 100% New , Unit Price: 2458333000 Vnd",1.0,UNT,95099.92263,95099.92263,vnd,3.96249677625,3.96249677625,Vietnam,Vietnam,84195010 (1).xlsx
