origin_country,dest_country,value_usd
Belgium,Uganda,2298418.52
China,Ghana,79781.296
China,Kenya,18227048.22
China,Namibia,55831.61
China,South Sudan,68366.26
China,Uganda,69966.11
Czech Republic,Uganda,134144.44
Egypt,Kenya,222.2
Germany,Ghana,51.69
Germany,Uganda,2303.53
India,Ghana,2415136.8
India,Kenya,341582.51
India,Oman,319871.82
India,Qatar,985914.9261662762
India,Saudi Arabia,5036612.699591519
India,Senegal,46227.65
India,Uganda,45279.0
India,United Arab Emirates,3603830.56
Indonesia,Qatar,10000.0
Italy,Ghana,12833.203
Italy,Uganda,153538.61
Kazakhstan,United Arab Emirates,263878.0
Kenya,Uganda,81337.986
Kenya,United Arab Emirates,80976.50200000001
Malaysia,Qatar,19711.93
Malaysia,Saudi Arabia,111814.99
Malaysia,Uganda,6036.0
Malaysia,United Arab Emirates,11394.109999999999
Mexico,United Arab Emirates,196866.5
Netherlands,Ghana,5276.848
Netherlands,Kenya,27524.47
Nigeria,South Sudan,5528.32
Pakistan,United Arab Emirates,8015.48
Philippines,Qatar,10000.0
Philippines,United Arab Emirates,10000.0
Portugal,Uganda,133071.35
Rwanda,Kenya,171710.78
South Africa,Ghana,81.827
South Korea,Ghana,5448.024
Spain,Uganda,412367.27
Taiwan,Uganda,573.0
Turkey,Ghana,112090.84300000001
Turkey,Kenya,636937.32
Turkey,Namibia,8550.0
Turkey,Oman,395192.67
Turkey,Qatar,191155.52
Turkey,Saudi Arabia,395089.8
Turkey,Senegal,168889.21000000002
Turkey,South Sudan,28053.819
Turkey,Uganda,22752.1
Turkey,United Arab Emirates,788040.35
United Arab Emirates,Kenya,55845.090000000004
United Arab Emirates,South Sudan,1027.461
United Arab Emirates,Uganda,35290.31
United Kingdom,Ghana,224662.92600000004
United Kingdom,Kenya,168.7
United Kingdom,Namibia,108467.73
United States,Ghana,8578.423
United States,Kenya,7597.83
United States,South Sudan,187185.27000000002
United States,Uganda,792.44
Vietnam,United Arab Emirates,120000.0
