dest_country,shipper,value_usd
Kenya,"Jingmen Hongtu Special Aircraft Manufacturing Co., Ltd.",18204113.81
Ghana,Bharat Tanks And Vessels Llp,2364150.59
Uganda,Ogeco,2295262.0
Saudi Arabia,Inox India Pvt. Ltd.,1655384.4195915195
Saudi Arabia,Inox India Limited,1282681.69
United Arab Emirates,Inox India Limited,852383.14
Qatar,Air Liquide Global E&C Solutions India Pvt. Ltd.,839882.19
United Arab Emirates,Cryolor Asia Pacific Pvt. Ltd.,815051.66
Saudi Arabia,Vrv Asia Pacific Pvt. Ltd.,785167.32
Saudi Arabia,Cryolor Asia Pacific Pvt. Ltd.,699925.65
United Arab Emirates,Optech Engineering Pvt. Ltd.,579102.99
Saudi Arabia,Spark Engineers,488058.95
United Arab Emirates,Vrv Asia Pacific Pvt. Ltd.,451210.19
Uganda,Aguliar Salas Torres,412367.27
Oman,Inox India Pvt. Ltd.,319871.82
Kenya,Yilteks Energy Heat Machinery Manufacturing Industry And Foreign Trade Limited Company,273420.0
United Arab Emirates,Llp Caley Energy,263878.0
United Arab Emirates,Krison Engineering Works,259948.0
Kenya,Socar Shipping Agency S A R L,237122.16999999998
United Arab Emirates,Cryogas Equipment Pvt. Ltd.,226104.78
Ghana,Ltp Solutions Pty Ltd,224662.92600000004
United Arab Emirates,Inox India Pvt. Ltd.,219261.06
Kenya,Milkotronic Ltd Dhl Aero Expreso Sa,171710.78
Senegal,Karbonsan Dry Ice And Pressure Vessels Industry Trade Joint Stock Company,167865.39
United Arab Emirates,Guven Bombe And Pressure Vessels Joint Stock Company,161306.0
Oman,Yilteks Energy Heat Machinery Manufacturing Industry And Foreign Trade Limited Company,159350.0
United Arab Emirates,Karbonsan Dry Ice And Pressure Vessels Industry Trade Joint Stock Company,148773.34
Uganda,Total Energies Marketing Afrique 92069 Paris La De,145364.0
Saudi Arabia,Ak Steel Pipe Industry Joint Stock Company,144160.0
Uganda,A. Silva Matos Metalomecanica S.A.,133071.35
Qatar,Karbonsan Dry Ice And Pressure Vessels Industry Trade Joint Stock Company,132955.52
United Arab Emirates,Mig Company Ltd.,120000.0
United Arab Emirates,Industrias Gutierrez S.A. De C.V.,115439.48000000001
Uganda,De Visser Trading Bv,114562.24
United Arab Emirates,Cazgir Construction Heat Systems Trade And Industry Joint Stock Company,112000.0
Saudi Arabia,Taylor Warthon Malaysia Sdn Bhd,111814.99
Namibia,Oeg Offshore Uk Limited,108467.73
Oman,Mimmak Marketing Import Export Industry And Trade Ltd,102900.0
South Sudan,Tononka Steels Limited,96133.301
Saudi Arabia,Guven Bombe And Pressure Vessels Joint Stock Company,93801.5
South Sudan,Tononka Steels Ltd,91051.969
Kenya,Optech Engineering Pvt. Ltd.,90135.41
Qatar,Vrv Asia Pacific Pvt. Ltd.,90051.5761662763
United Arab Emirates,Ak Steel Pipe Industry Joint Stock Company,89600.0
Kenya,Gasgrup Enerji Sistemleri Ins Taah San Ve Tic As,82332.95999999999
United Arab Emirates,Svifflug S De Rl De Cv,81427.02
Kenya,Cryotechnic Pressure Vessels Machinery Engineering Project Construction Import Export Industry And Trade Ltd,81000.0
United Arab Emirates,Brams Gases Ltd Kenblest Premises,79974.845
United Arab Emirates,Mimmak Marketing Import Export Industry And Trade Ltd,79000.0
United Arab Emirates,Betsima Engineering Industry And Trade Ltd,75500.0
United Arab Emirates,Auriga Gases Services Llp,67529.67
Oman,Tedsan Machinery Engineering Contracting Industry And Trade Ltd,65750.0
Kenya,Yilteks Enerji,64074.71
Saudi Arabia,Karbonsan Dry Ice And Pressure Vessels Industry Trade Joint Stock Company,62700.0
Qatar,Erkasis Engineering Cooling Industry Trade Joint Stock Company,58200.0
Namibia,Anhui Cox Import Export Trading Co Ltd,55831.61
