dest_country,consignee,value_usd
Ghana,Petroleum Warehousing And Supplies Ltd,2272659.93
Ghana,Tullow Ghana Ltd,224662.92600000004
Ghana,B5 Plus Ltd,91490.66
Ghana,Asante Gold Bibiani Ltd,55193.511999999995
Ghana,Multi Pac Limited,53319.372
Ghana,Africa Crowns Packaging Ltd,48702.4
Ghana,Miss Dorothy Boakyewaa,24081.554
Ghana,United Plastics Packaging Industries Ltd,17450.815
Ghana,T W Mines Limited Company,16554.47
Ghana,Manbah Gas Company Ltd,16440.466
Ghana,Ki Energy,14000.0
Ghana,Manbah Gas Company Limited,9082.068
Ghana,Twellium Industrial Company Limited,5448.024
Ghana,Golden Milan Company Ltd,2505.006
Ghana,Ruma Fertility And Specialist Hospital Limited,2496.503
Ghana,Jmgl Ltd,2283.81
Ghana,Emmanuel Sarfo Mensah,2272.738
Ghana,Wettrick Engineering Services Ltd,1165.94
Ghana,Aksa Energy Company Ghana Ltd,966.364
Ghana,Golden Brick Building Materials Gh Ltd,927.32
Ghana,Indorama Ventures Packaging Ghana Ltd,430.228
Ghana,Peak Steel Ghana Limited Company,346.619
Ghana,Onardeve Star Ventures,322.192
Ghana,Huahua Awurade Enterprise,299.068
Ghana,Prak Industries Ltd,258.78
Ghana,Attan Industries Ltd,168.399
Ghana,Charles Finest Trading,130.282
Ghana,T E Mont Resources Ghana Ltd,101.43
Ghana,Ghana Petroleum Mooring Systems Ltd,81.827
Ghana,Kumasi Centre For Collaborative Research Kccr,51.69
Ghana,Varage Ghana Limited,37.303
Ghana,Meiji Ghana Ltd,10.184
Ghana,K I Energy Limited,0.0
Kenya,Taifa Gas Investment Sez Limited,18182264.45
Kenya,Glorykneat Kenya Limited,237122.16999999998
Kenya,Y Tree Limited,171710.78
Kenya,Vivo Energy Kenya Ltd.,82332.95999999999
Kenya,Gedwel Solution Ltd,81000.0
Kenya,Luqman Petroleum Limited,77200.0
Kenya,Societe Petroliere Ltd,76163.41
Kenya,Tropix Gas Ltd,62900.0
Kenya,Jaguar Petroleum,51420.0
Kenya,Danros General Contractors And Supplies Company Limited,51274.08
Kenya,Megtraco Limited,48359.34
Kenya,Galana Energies Ltd,48015.369999999995
Kenya,Trinity Petroleum Limted,26097.27
Kenya,Kento Energy Ltd,25700.0
Kenya,Galana Oil Kenya Ltd,23900.0
Kenya,Department Of Defence,21849.36
Kenya,Flash International Courierslimited,20500.0
Kenya,Fossil Supplies Limited,17911.760000000002
Kenya,Luqman Petroleum 9588 Juba South Sudan,16801.16
Kenya,Fossils Supplies Ltd,15652.4
Kenya,Multitrade International Limited,15428.07
Kenya,Manjis Gas Supply Company Ltd,13972.0
Kenya,Flash International Couriers Limited,13334.03
Kenya,Gedwel Solution Limited,12565.0
Kenya,Multi Trade International Ltd.,12096.4
Kenya,Frigitec Supplies Ltd.,8947.57
Kenya,Synergetic Development Investment Holdings Ltd,6016.01
Kenya,Mhe Ltd,5145.48
Kenya,Regal Pharmaceuticals Limited,4300.46
Kenya,Achelis Material Handling Limited,4094.5
Kenya,Autumn Beacon Engineering Limited,3723.34
Kenya,Golden Worriors Company Limited,3719.69
Kenya,Dobex Enterprises Limited,3706.25
Kenya,Taifeng United Kenya M E Engineering Company Limited,3608.17
Kenya,Milly Glass Works Ltd,3536.87
Kenya,"Car And General Trading, Ltd.",3503.33
Kenya,Insta Products Epz Limited,3408.18
Kenya,Adarsh Manufacturers Ltd,1822.57
Kenya,Jio Industries Ltd,1745.74
Kenya,Crystal Industries Ltd,1330.1
Kenya,Sepcoiii Electric Power Construction Co Ltd,847.67
Kenya,Meraki Packaging Kenya Ltd,799.95
Kenya,Kartasi Products Ltd,549.36
Kenya,Kartasi Products Ltd.,480.68
Kenya,Nairobi Enterprises Ltd.,316.0
Kenya,Sprintex Engineering Services Ltd.,291.1
Kenya,Plt Printing K Limited,270.63
Kenya,Lukulu General Agencies,222.2
Kenya,Haosail General Machinery Co Limited,182.11
Kenya,Trident Gas And Oil Engineering Co Ltd,173.7
Kenya,Roman Papers Limited,168.7
Kenya,Topmarine Logistics Agencies Ltd,156.75
Namibia,Windhoek Pel Twenty Eight B.V.,108467.73
Namibia,Interpack Consumable Manufacturers Cc,55831.61
Namibia,Opulence Energies,8550.0
Oman,Muscat Pharmacy And Stores Llc,256685.6
Oman,Unigaz Oman Llc,102900.0
Oman,Muscat Power Pioneer Co,86300.0
Oman,Unigaz Llc Waseem El Hajji,65750.0
Oman,Golden Quality Gas Services,40500.0
Oman,Unigaz L L C,39000.0
Oman,Al Amer Contractions And Gas Engineering Co Llc,32550.0
Oman,Oman Industrial Gas Co. Llc,24675.73
Oman,Global Quality Creativity Llc,21276.36
Oman,Bin Salim Enterprises Llc,20085.0
Oman,Global Quality And Creativity Llc,17234.13
Oman,Atlas Copco Services,8107.67
Qatar,Gasal Q S C,839882.19
Qatar,Sinergia S P A,132955.52
Qatar,Qmedic Group,62638.076166276296
Qatar,National Group For Agriculture And Animal Products Wll,58200.0
Qatar,Qatarenergy Lng Marketing,30013.97
Qatar,Mars Trading Contracting Co,29940.0
Qatar,Buzwair Industrial Gases Factories,27413.5
Qatar,Qatar Energy Lng,16861.21
Qatar,Qatar Energy Lng Marketing,9697.96
Qatar,Ahlan Trading Wll,9125.4
Qatar,Rose Gold Jewellery Wll,54.55
Saudi Arabia,Gulf Cryo Saudi For Industrial And Medical Gases Company,1107492.72
Saudi Arabia,Air Products,888559.09
Saudi Arabia,Abdullah Hashim Industrial Gases Equipment Co Ltd,719802.39
Saudi Arabia,Neom Green Hydrogen Company Ltd,499744.1695915196
Saudi Arabia,Branch Industrial Gases And Equipment Co. Ltd.,224955.0
Saudi Arabia,Gas Equipment Trading,194370.2
Saudi Arabia,Rawabi Integrated Gas Co,144365.68
Saudi Arabia,Alhumaidi Saqer Almawraqi Co,144160.0
Saudi Arabia,Gas Solution Ltd,142966.41999999998
Saudi Arabia,Shell N Tube Pvt Ltd,111814.99
Saudi Arabia,Gas Solutions Ltd.,103079.38
Saudi Arabia,Gulf Cryo Saudi For Industrial And Medical Gases Co,97567.47
Saudi Arabia,Industrial Gases And Equipment Co Ltd,80415.84
Saudi Arabia,Rawabi Integrated Gas,79686.32
Saudi Arabia,Al Bazei Gas Factory,76824.04
Saudi Arabia,Branch L Gases And Equipment Co. Ltd.,63703.34
Saudi Arabia,Bcb N E Ltd,62700.0
Saudi Arabia,Sergas Contracting Co L L C,49350.0
Saudi Arabia,Air Products Abdullah Hashim Industrial Gases Co.,48262.78
Saudi Arabia,Ngc Energy Llc,47642.95
Saudi Arabia,Jacko Gases Company,47144.38
Saudi Arabia,"Gulf Cryo Saudi For Industrial And, Medical Gases Co.",45658.5
Saudi Arabia,Abdullah Hashim Industrial Gases And Equipment Co Ltd Ltd,45460.899999999994
Saudi Arabia,Branch Of Abdullah Hashim Industri L Gases Equipment Co Ltd,41916.0
Saudi Arabia,Air Products Abdullah Hashim Ind Ga,41704.42
Saudi Arabia,Gulf Cryo Saudi For Industrial And,38922.0
Saudi Arabia,Powerline Solutions,38711.42
Saudi Arabia,Watani Industrial And Medical Gases Plant,37488.87
Saudi Arabia,Igas Alkhobar For Industrial Equipments Trading Co,36771.31
Saudi Arabia,Gulf Riyadah Co Ltd,33471.5
Saudi Arabia,Abdullah Hashim Industrial Gases And Equpment Co Limited,33324.22
Saudi Arabia,Arcoma Company Ltd,29540.0
Saudi Arabia,Power Liine Solutions,28434.02
Saudi Arabia,Arabian Axles Industrial Company,26238.1
Saudi Arabia,Saudi Amarox Industrial Company,23347.74
Saudi Arabia,"Abdullah Hashim Industria, L Gases And Equipment Co. Ltd.",20698.89
Saudi Arabia,International Medical Health,19461.0
Saudi Arabia,Al Hawaiya For Industrial Solutions Ltd,18090.0
Saudi Arabia,Universal Coils And Heat Exchangers Industries Co,14335.57
Saudi Arabia,Al Rashed Tires Company Llc,12700.0
Saudi Arabia,Yokogawa Saudi Arabia Company L L C,9033.89
Saudi Arabia,Gas Arabian Services Co. Ltd.,7716.36
Saudi Arabia,Athad Nazam Commercial Company,3030.0
Saudi Arabia,Copeland,1018.98
Saudi Arabia,Al Watan Poultry Processing,746.76
Saudi Arabia,Hsbc Dammam,634.23
Saudi Arabia,Khalil Ibrahim Al Essa Trading Est,455.65
Senegal,Crisa Middle East Offshore Tuesday,93825.96
Senegal,Siagro,74039.43
Senegal,Air Liquid Senegal,46227.65
Senegal,Cheikh Aw,1023.82
South Sudan,Tri Soft High Developers Limited,96133.301
South Sudan,Toch South Sudan,91051.969
South Sudan,Spacebill Consultants Ltd,30377.946
South Sudan,N B K Hydraulics Spare Parts Limited,28053.819
South Sudan,Sorex Limited,14909.737
South Sudan,Active Youth For Culture And Sports Promotion,14121.651
South Sudan,Bellissima Apartments Ltd,5528.32
South Sudan,Eliana General Trading Co Limited,4600.036
South Sudan,Sinco Medical Supplies Ltd,4356.89
South Sudan,Vision For Empowerment And Development Organization,430.131
South Sudan,Sievia Trading Company Ltd,407.395
South Sudan,Markets Merger Limited,189.935
Uganda,Societe Petroliere Ltd,2295262.0
Uganda,Total Energies Marketing Uganda Ltd,412367.27
Uganda,Totalenergies Marketing Uganda Limited,145364.0
Uganda,Vivo Energy Uganda Ltd,133071.35
Uganda,Capital Shoppers Limited,114562.24
Uganda,Crown Beverages Ltd,43139.466
Uganda,Hass Petroleum South Sudan A C Ivory Trading And Investment Lt 11 Juba South Sudan,41090.39
Uganda,Crown Beverages Limited,40000.0
Uganda,Green Gas Ltd,34970.88
Uganda,Norpet Energy Ltd,24023.95
Uganda,Cd Ets Ntakobajira Kabwa,19582.2
Uganda,Easy Gas Ltd,15937.0
