date,hs_code,product_description,consignee,shipper,Notify Party Name,std_qty,std_unit,gross_weight,qty,unit,unit_rate_usd,value_usd,origin_country,origin_port,dest_country,dest_port,Bill of Lading,shipment_mode,measurement,Actual Duty,Port of Delivery,Container TEU,Freight Term,Marks Number,Consignee Address,Shipper Address,Notify Party Address,hs_description,source_country_field,month,direction,hs2,hs4,commodity,source_file,currency_detected,unit_rate_norm_usd,value_norm_usd
2024-10-11 00:00:00,731100,Empty Steel Cylinder Tanks,Citi Freight Logistics Inc,Mcwane India Pvt. Ltd.,Citi Freight Logistics Inc,1232.0,CYL,59969.0,1232.0,CYL,0.0,0.0,India,OP India,United States,Savannah,BMLBHMAA24000276,-,-,-,-,0,-,01 TO 1232,"55 CARTER DRIVE, SUITE# 201 EDISON| MIDDLESEX, NEW JERSEY, UNITED STA|TES (732) 8373884 TELEX: 08817","300, EMC-3rd Cross, Sricity, Chervi Village",9 Murdock Ct Apt 6J,nan,USA T3+  Import,2024-10-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,0.0,0.0
2024-09-10 00:00:00,731100,Empty Steel Cylinder Tanks,Citi Freight Logistics Inc,Mcwane India Pvt. Ltd.,Citi Freight Logistics Inc,1732.0,CYL,43386.0,1732.0,CYL,0.0,0.0,Sri Lanka,Colombo,United States,Savannah,BMLBHMAA24000216,-,-,-,-,0,-,01 TO 1732,9 Murdock Ct Apt 6J,"300, EMC-3rd Cross, Sricity, Chervi Village",9 Murdock Ct Apt 6J,nan,USA T3+  Import,2024-09-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,0.0,0.0
2024-09-03 00:00:00,731100,Empty Steel Cylinder Tanks,Citi Freight Logistics Inc,Mcwane India Pvt. Ltd.,Citi Freight Logistics Inc,1732.0,CYL,43386.0,1732.0,CYL,0.0,0.0,Sri Lanka,Colombo,United States,Savannah,BMLBHMAA24000219,-,-,-,-,0,-,01 TO 1732,9 Murdock Ct Apt 6J,"300, EMC-3rd Cross, Sricity, Chervi Village",9 Murdock Ct Apt 6J,nan,USA T3+  Import,2024-09-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,0.0,0.0
2024-11-08 00:00:00,73110005,"Cytsa Plant Tank Model 66 ,000 L O131 (And -1106 )",Importadora Y Distribuidora Cadiz S.A.,Inds Gutierrez S A C V,,14500.0,KGS,0.0,14500.0,KGS,3.84,55654.0,Mexico,OP Colombia,United States,Not Available,-,-,-,-,-,-,-,-,De La Iglesia Catolica 800 Mts Al Nte Carretera A Grecia Barrio San Jose De Alaj,Paraiso/1596/Fresno/Enrique Diaz De Leon Y Tabachin,,"Containers for compressed or liquefied gas, of iron or steel., Containers for compressed or liquefied gas, of iron or steel., Containers for compressed or liquefied gas, of iron or steel., Cylindrical, designed to withstand pressures greater than 5.25 kg/cm2, other than those included in commercial ID number 7311.00.05.02.",Mexico T3  Export,2024-11-01,Export,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,3.84,55654.0
2024-11-08 00:00:00,73110005,"Cytsa Plant Tank Model 66 ,000 L O131 (And -1106 )",Importadora Y Distribuidora Cadiz S.A.,Inds Gutierrez S A C V,,14500.0,KGS,0.0,14500.0,KGS,3.84,55654.0,Mexico,OP Colombia,United States,Not Available,-,-,-,-,-,-,-,-,De La Iglesia Catolica 800 Mts Al Nte Carretera A Grecia Barrio San Jose De Alaj,Paraiso/1596/Fresno/Enrique Diaz De Leon Y Tabachin,,"Containers for compressed or liquefied gas, of iron or steel., Containers for compressed or liquefied gas, of iron or steel., Containers for compressed or liquefied gas, of iron or steel., Cylindrical, designed to withstand pressures greater than 5.25 kg/cm2, other than those included in commercial ID number 7311.00.05.02.",Mexico T3  Export,2024-11-01,Export,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,3.84,55654.0
2024-11-20 00:00:00,73110005,Cytsa Stationary Tank Model 3785L 040 Horiz Y 1264 3785L Ag 044 75 Horiz Y 1809 1890L 037 40 Horiz Y 1263  Ov260603,Bolivar Trading Inc,Industrias Gutierrez S.A. De C.V.,,9700.0,KGS,0.0,9700.0,KGS,2.98,28919.99,Mexico,Altamira,United States,Not Available,-,-,-,-,-,-,-,-,"2201 S. W 145th Avenue, Suite 201",Avenida 8 de Julio 2495,,"Containers for compressed or liquefied gas, of iron or steel.,  Containers for compressed or liquefied gas, of iron or steel.,  Containers for compressed or liquefied gas, of iron or steel.",Mexico T3  Export,2024-11-01,Export,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,2.98,28919.99
2024-10-14 00:00:00,73110005,Stationary Tank Plant Tank For Gas,Al Dharis Specialized Pipes Fitting,Industrias Gutierrez S.A. De C.V.,,8214.0,KGS,0.0,8214.0,KGS,4.38,35963.98,Mexico,Manzanillo,United Arab Emirates,Not Available,-,-,-,-,-,-,-,-,201-B Al Shaaah Building,Avenida 8 de Julio 2495,,"Containers for compressed or liquefied gas, of iron or steel.,  Containers for compressed or liquefied gas, of iron or steel.,  Containers for compressed or liquefied gas, of iron or steel.",Mexico T3  Export,2024-10-01,Export,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,4.38,35963.98
2024-09-20 00:00:00,73110099,"Bã¬Nh Chá»©A Khã­ Nã©N 1000 Lã­T , Nhã£N Hiá»‡U: Bk Tank ,  Kt:830*2137 Mm ,  ÄK Á»‘Ng:Dn40 , ÃP Lá»±C Lã M Viãªc0 , 8 Mpa ,  Näƒm Sx:2024 ,  Má»›I 100%#&Vn",Cong Ty Tnhh Gold Cable Viet Nam,Vinhthinh Industrial Equipment Co. Ltd.,,1.0,NOS,610.3,1.0,PCE,491.6018,491.6018,Vietnam,Not Available,Vietnam,Not Available,,-,-,-,-,-,-,-,"Duong D3, Khu D, Khu Cong Nghiep Pho Noi A, Xa Lac Hong, Huyen Van Lam","No. 38 Thach Phong Street, Thanh Xuan Commune, Huyen Soc Son",,nan,Vietnam T3  Export,2024-09-01,Export,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,491.6018,491.6018
2024-09-24 00:00:00,73110092,"Zh-4.5Jl-Cp#&Vá» Bã¬Nh Chá»©A Khã­ Nã©N Báº±Ng Thã©P , Khã´Ng Chá»©A Khã­ ,  Dung Tã­Ch 4.5 Gallon    (17.0325L)   -Tank Body Ass'Y For 4.5 Gallon -030368-For 311831001 Vn. Má»›I 100% ,  Khã´Ng Nhã£N Hiá»‡U#&Kxä",Tti Partners Spc,Zhongheng Viet Nam Manufacturing Co. Ltd.,,784.0,NOS,20812.11,784.0,PCE,30.4236,23852.1024,Vietnam,Not Available,Vietnam,Not Available,,-,-,-,-,-,-,-,"Unit E-F 26/F, Centro Comercial Da Praia Grande, No. 429 Avenida Da Praia Grande",Factory C-1B-C7B Lot C-1B-Cn My Phuoc 3 Industrial Park Ward Hoa Ben,,nan,Vietnam T3  Export,2024-09-01,Export,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,30.4236,23852.1024
2024-09-30 00:00:00,73110099,"Bã¬Nh Nã©N Khã­ -Air Receiver Tank ,  Dã¹Ng Cho Mã¡Y Nã©N Khã­ ,  Thá»Ƒ Tã­Ch: 3M3 ,  Ã¡P Suáº¥T Lã M Viá»‡C: 8Kg-Cm2 ,  Lã M Báº±Ng Thã©P Ä‘Æ°Á»£C Hã N Kã­N ,  Hã Ng Má»›I 100%#&Vn",Cong Ty Co. Phan Giai Phap Cong Nghe Va Truyen Thong Victory Vietnam,Atc Vina Trading & Service Co. Ltd.,,2.0,SET,4968.0,2.0,SET,1863.99016,3727.98032,Vietnam,Not Available,Vietnam,Not Available,,-,-,-,-,-,-,-,"So 99 Hung Vuong, Phuong Vi Hoang",No. 14 Street D7 Viet Sing Residential Area An Phu Ward,,nan,Vietnam T3  Export,2024-09-01,Export,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,1863.99016,3727.98032
2024-11-08 00:00:00,73110099,"1000L Air Tank , Model: 1000L , Steel Material , Used To Store Compressed Air , 100% New Product #&Vn",Cong Ty Tnhh Cong Nghe Quang Dien Tu Dzc Viet Nam,Rongshun (Viet Nam) Mechatronics Machinery Services Co. Ltd.,,1.0,NOS,1102.55,1.0,PCE,476.19047,476.19047,Vietnam,Not Available,Vietnam,Not Available,,-,-,-,-,-,-,-,Lot Cn-36 Thuan Thanh II Industrial Park Mao Dien Commune Thuan Thanh Town,Upper Area Khac Niem Ward,,nan,Vietnam T3  Export,2024-11-01,Export,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,476.19047,476.19047
2024-11-25 00:00:00,73110029,6M3 Compressed Air Tank Model Nk 6-10   (Does Not Contain Lpg)   Made Of Cast Steel For Use In Factories. Capacity 6000L. Manufacturer: Nam An. 100% New.#&Vn,Cong Ty Tnhh Cong Nghe Precision Craft Component Viet Nam,Aofuke Vietnam Machinery Equipment Co. Ltd.,,1.0,SET,12756.1,1.0,SET,3373.01587,3373.01587,Vietnam,Not Available,Vietnam,Not Available,,-,-,-,-,-,-,-,"Nham Xuong A1, A2, A3",Cau Ha A Village (At Mr. Nguyen Van Vien's House) X Quang Trung An Lao District,,nan,Vietnam T3  Export,2024-11-01,Export,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,3373.01587,3373.01587
2024-11-29 00:00:00,73110026,"Vbat1Oa1-U-X104 Air Compressor Tank , Iron , Capacity 10L , Size: 40*500Mm , Brand: Smc 0.5Bar , Cylindrical Shape Made Of Cast Steel , 100% New",Cong Ty Tnhh Risun Technology Viet Nam,Vu Long Electrical Hardware Co. Ltd.,,1.0,NOS,230.0,1.0,PCE,152.38095,152.38095,Vietnam,Not Available,Vietnam,Not Available,,-,-,-,-,-,-,-,"Lo BB2 VA CN3 (Thue Tai Cty CP BKT), X. Kien Bai",Lot No. 100 Hoang Mai Village Dong Thai Commune An Duong District,,nan,Vietnam T3  Export,2024-11-01,Export,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,152.38095,152.38095
2024-10-16 00:00:00,73110092,"Air Tank Size D168-L2710Mm ,  3Mm Thick Stainless Steel ,  For Storing Compressed Air. Capacity 20 Liters. Manufacturer Long Thanh. 100% New.#&Vn",Cong Ty Tnhh Jahwa Vina,Long Thanh Construction Investment Co. Ltd.,,1.0,SET,143.3,1.0,SET,514.39424,514.39424,Vietnam,Not Available,Vietnam,Not Available,,-,-,-,-,-,-,-,"LO CN10-Khu Cong Nghiep, Khai Quang- Phuong Khai Quang-, Thanh Pho Vinh Yen-, Tinh Vinh Phuc","Tam Hop Commune, Binh Xuyen District",,nan,Vietnam T3  Export,2024-10-01,Export,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,514.39424,514.39424
2024-10-09 00:00:00,73110027,"Pressure Tank Us100361Cs000000   (100Liter-10Bar)   Varem - Italia   (Pressure Tank, Capacity 100L, High Pressure Steel Shell, Cylindrical Cast, Size: 450X910 Mm)  , 100% New #&It",Cong Ty Tnhh Nichias Hai Phong,Ivory General Services,,2.0,NOS,2820.0,2.0,PCE,358.09676,716.19352,Vietnam,Not Available,Vietnam,Not Available,,-,-,-,-,-,-,-,"Lo Dat C3, C5 C6 Khu Cong Nghiep",Lac Hong Phuc Urban Area Nhan Hoa Ward My Hao Town Hung Yen Province Vietnam,,nan,Vietnam T3  Export,2024-10-01,Export,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,358.09676,716.19352
2024-11-08 00:00:00,73110026,"Zh-1Jl-Cp#&Steel Cylindrical Compressed Air Tank , Airless , Capacity 3.785L- Tank Assy-011104-Ryobi 1 Gallon Compressor For 315878001Vn , No Brand , 100% New#&Kxä",Tti Partners Spc,Zhongheng Viet Nam Manufacturing Co. Ltd.,,2435.0,NOS,8787.1,2435.0,PCE,13.5935,33100.1725,Vietnam,Not Available,Vietnam,Not Available,,-,-,-,-,-,-,-,"Unit A-C Centro Comercial Da Praia Grande, No. 429 Avenida Da Praia Grande",Factory C-1B-C7B Lot C-1B-Cn My Phuoc 3 Industrial Park Ward Hoa Ben,,nan,Vietnam T3  Export,2024-11-01,Export,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,13.5935,33100.1725
2024-10-23 00:00:00,73110026,"15L Gas Tank Shell ,  Made Of Cast Steel ,  Cylindrical Shape. 100% New#&Vn",Lite-On Vietnam Co. Ltd.,Thinh Nguyen Viet Nam Technology Co. Ltd.,,1.0,NOS,922.42,1.0,PCE,12.39504,12.39504,Vietnam,Not Available,Vietnam,Not Available,,-,-,-,-,-,-,-,"5/28/1900, 10th Road, VSIP Hai Phong Town",3rd Floor No. 74 Me Tri Ha Street Me Tri Ward Nam Tu Lien District,,nan,Vietnam T3  Export,2024-10-01,Export,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,12.39504,12.39504
2024-09-11 00:00:00,73110027,"Co Gas Tank ,  Cylindrical Shape ,  Cast Steel ,  Capacity 40 Liters ,  Pressure 125 Bar ,  5M3",Tuna Vietnam Co. Ltd.,Henan Xinlianxin Shenleng Energy Co Ltd,,475.0,UNA,22800.0,475.0,UNA,35.0,16625.0,China,Shanghai,Vietnam,Tan Cang Hiep Phuoc Port,,-,-,0,-,-,-,-,Lot A4-A8 Suoi Dau Industrial Park Suoi Tan Cam Lam,,,nan,Vietnam T3  Import,2024-09-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,35.0,16625.0
2024-09-05 00:00:00,73110099,"0#&Compressed Air Tank 8M3-1.05Mpa ,  Serial No: Y22912-9 ,  Carbon Steel Material Q345R ,  Manufacturer Jiangsu Shenqiang Special Equipment Co. , Ltd ,  Year Of Manufacture 2022. Used Goods",Luxshare - Ict Van Trung Company Ltd.,Luxshare Precision Ltd.,,1.0,NOS,11100.0,1.0,PCE,55873.54,55873.54,China,Kunshan,Vietnam,Cua Khau Huu Nghi Lang Son,,-,-,0,-,-,-,-,Lot Cnsg-01 Building F10 Phase Huahuihe Science and Technology Park (Huazhong Zhigu) Block 201M,1050 Darrell Waltrip Dr,,nan,Vietnam T3  Import,2024-09-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,55873.54,55873.54
2024-09-23 00:00:00,73110099,"Steel Tank   (Iso Tank)   Number Ciku8520128, Capacity 21,000 Liters, Used To Contain Food Additive Dinito Monoxide   (N20)  , The Goods Are A Means Of Rotation.",Vietnam Dcmc Trading Co. Ltd.,Chongqing Tonghui Kefa Gas Co Ltd,,1.0,NOS,8700.0,1.0,PCE,80000.0,80000.0,China,Hekou,Vietnam,CuaÂ khauÂ laoÂ cai,,-,-,0,-,-,-,-,No. 4 Alley 8/11/92 Group 5 Le Quang Dao Street Phu Do Ward Nam Tu Liem District,,,nan,Vietnam T3  Import,2024-09-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,80000.0,80000.0
2024-09-27 00:00:00,73110026,"Ol1569#&Expansion Tank ,  Capacity 20L ,  Steel Material ,  Model: S2020361Cs000000 ,  Brand Varem ,  Origin: Italy. 100% New.",Olam Vietnam Food Processing Co Ltd,Cong Ty Tnhh Co Nhiet Dien Lanh Bach Khoa,,1.0,NOS,1525.0,1.0,PCE,123.92462,123.92462,Italy,Not Available,Vietnam,Not Available,,-,-,0,-,-,-,-,"Lot L, Road No. 6, An Phuoc Industrial Park, An Phuoc Commune, Long Thanh District","497/6 Su Van Hanh, Phuong 12, Quan 10",,nan,Vietnam T3  Import,2024-09-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,123.92462,123.92462
2024-09-09 00:00:00,73110099,"Gas Tank   (Used)  , Capacity 150-180 L, Working Pressure 14 Bar, Cylindrical Shape Made Of Stainless Steel   (Used To Contain Liquid Argon Item 1 Tk 106555348800 E13)  . Unit = Tank",Sei Electronic Components Vietnam Ltd,Cong Ty Tnhh Tomoe Vietnam,,1.0,ADMT,720.0,1.0,UNT,2458.00901,2458.00901,Japan,Not Available,Vietnam,Not Available,,-,-,0,-,-,-,-,"Plot C6, Thang Long Industrial","Lo 10, Duong TS27, KCN Tien Son",,nan,Vietnam T3  Import,2024-09-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,2458.00901,2458.00901
2024-09-27 00:00:00,73110099,"Liquefied Gas Tank Made Of Steel, Capacity 15M3, Working Pressure: 1.6 Mpa, Used To Store Industrial Gas Lo2   (No Gas)  , Ningbo Manufacturer, Used Goods, Manufactured In 2014",Thien Phu Van Import Export And Trading One Member Company Ltd.,Guangxi Pingxiang City Feng Song Import & Export Trading Co. Ltd.,,1.0,NOS,15800.0,1.0,PCE,16200.0,16200.0,China,Pingxiang,Vietnam,Cua Khau Huu Nghi Lang Son,,-,-,0,-,-,-,-,Zone 8 Bao Van Village - Dong Van Commune - Yen Lac District,"Add No. 362, Beida Road",,nan,Vietnam T3  Import,2024-09-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,16200.0,16200.0
2024-09-05 00:00:00,73110027,"Empty Air Tank Without Compressed Air#&Empty Air Tank Vbat38A1-Rv, Ss400 Carbon Steel Material, 1Mpa Pressure, 38 Liter Capacity   (Empty Tank Without Compressed Air)  , Smc Brand, 100% New",Cong Ty Tnhh Juki Viet Nam,Cty Tnhh Vintechpro,,1.0,NOS,46.8,1.0,PCE,528.92257,528.92257,Japan,Not Available,Vietnam,Not Available,,-,-,0,-,-,-,-,,"SO 5 DUONG SO 2, KHU NHA O VAN PHUC",,nan,Vietnam T3  Import,2024-09-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,528.92257,528.92257
2024-09-30 00:00:00,73110092,"Air Tank V25L ,  Type 300-2-Lk & Ptsx For Vehicles With 24 Seats Or More ,  Hollow ,  Steel ,  For Braking Equipment Of Moving Parts In Automobiles. 100% New",Transport Construction Mechanical Joint Stock Company,"Guangxi Nanning Vision Mechanical & Electrical Co., Ltd.",,40.0,NOS,102330.0,40.0,PCE,58.43,2337.2,China,Shekou Pt,Vietnam,Not Available,,-,-,0,-,-,-,-,429/4 Song Hanh Ha Noi Highway,"Room 1608, 1609, 1610, 1611",,nan,Vietnam T3  Import,2024-09-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,58.43,2337.2
2024-09-05 00:00:00,73110099,"0#&Compressed Air Tank 8M3-1.05Mpa ,  Serial No: Y22912-2 ,  Carbon Steel Material Q345R ,  Manufacturer Jiangsu Shenqiang Special Equipment Co. , Ltd ,  Year Of Manufacture 2022. Used Goods",Luxshare - Ict Van Trung Company Ltd.,Luxshare Precision Ltd.,,1.0,NOS,11100.0,1.0,PCE,55873.54,55873.54,China,Kunshan,Vietnam,Cua Khau Huu Nghi Lang Son,,-,-,0,-,-,-,-,Lot Cnsg-01 Building F10 Phase Huahuihe Science and Technology Park (Huazhong Zhigu) Block 201M,1050 Darrell Waltrip Dr,,nan,Vietnam T3  Import,2024-09-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,55873.54,55873.54
2024-09-05 00:00:00,73110099,"0#&Compressed Air Tank 8M3-1.05Mpa ,  Serial No: Y211159-4 ,  Carbon Steel Material Q345R ,  Manufacturer Jiangsu Shenqiang Special Equipment Co. , Ltd ,  Year Of Manufacture 2021. Used Goods",Luxshare - Ict Van Trung Company Ltd.,Luxshare Precision Ltd.,,1.0,NOS,6200.0,1.0,PCE,55873.54,55873.54,China,Kunshan,Vietnam,Cua Khau Huu Nghi Lang Son,,-,-,0,-,-,-,-,Lot Cnsg-01 Building F10 Phase Huahuihe Science and Technology Park (Huazhong Zhigu) Block 201M,1050 Darrell Waltrip Dr,,nan,Vietnam T3  Import,2024-09-01,Import,73,7311,HSN 7311 – Tanks/Cylinders,7311_tanks_only.xlsx,usd,55873.54,55873.54
