shipper,num_countries
Inox India Pvt. Ltd.,8
Vrv Asia Pacific Pvt. Ltd.,7
Yilteks Energy Heat Machinery Manufacturing Industry And Foreign Trade Limited Company,6
Inox India Limited,6
Cryolor Asia Pacific Pvt. Ltd.,6
Nan,6
Guven Bombe And Pressure Vessels Joint Stock Company,5
Md Ic Ve Foreign Trade Joint Stock Company,5
Karbonsan Dry Ice And Pressure Vessels Industry Trade Joint Stock Company,5
Smc Corporation,5
Ika Works (Asia) Sdn. Bhd.,4
Hamilton Sundstrand,4
Truwater Cooling Towers Sdn Bhd,4
Nihon Spindle Cooling Towers Sdn. Bhd.,4
Nihon Spindle Cooling Towers Sdn,4
