dest_country,shipper,value_norm_usd
Vietnam,Kide International Viet Nam Co. Ltd.,130178460.0
Vietnam,Cong Ty Tnhh Kide International Viet Nam,65089230.0
Brazil,Nan,49676248.0
United States,Mcwane India Pvt Ltd,25927764.26616768
Kenya,"Jingmen Hongtu Special Aircraft Manufacturing Co., Ltd.",18204113.81
Indonesia,Chart Energy & Chemicals Inc,11000000.0
United States,Cryolor Asia Pacific Pvt. Ltd.,9337428.391810173
Qatar,Hamilton Sundstrand Customer Support Centre (M) Sdn. Bhd.,8472770.7
Indonesia,"Huaxun Import & Export (Tongxiang) Co., Ltd.",8035275.0
Indonesia,Nortek Air Solutions Llc,6867000.0
Malaysia,Shanghai Envirotek Supplychain,6274264.72
Nigeria,Tekfen Manufacturing And Engineering Joint Stock Company,5642747.53
Malaysia,Shenzhen Envicool Technology Co Ltd,5509868.55
Malaysia,Shanghai Envirotek Supplychain Management Co Ltd,5458346.25
United States,Inox India Pvt. Ltd.,5069893.49
Malaysia,Linde Malaysia Sdn Bhd,4885692.5
Indonesia,Nanjing Qiao Chemical Co. Ltd.,4869671.58
India,Chart Inc.,4806095.72
Malaysia,Ge Aerospace Er L Us,4535955.22
Malaysia,Sunburst Ventures Hk Limited,4391518.33
Malaysia,Bac Dalian Co Ltd,3114772.64
Malaysia,Pride Chem Industries Pte Ltd,3016694.17
Malaysia,Linde Malaysia Sdn. Bhd.,2901812.2
Indonesia,Truwater Cooling Towers Sdn Bhd,2827419.67
United Arab Emirates,Hamilton Sundstrand Csc (M) Sdn. Bhd.,2775650.99
Qatar,Hamilton Sundstrand,2760589.59
United States,Field Fastener Mexico S De Rl De Cv,2759299.45
Vietnam,Cong Ty Tnhh Techtronic Industries Viet Nam Manufacturing,2611440.0
Malaysia,Shanghai Envirotek Supplychain Management Co,2471391.12
Malaysia,Hamilton Sundstrand Csc M Sdn Bhd,2381907.31
Ghana,Bharat Tanks And Vessels Llp,2364150.59
Malaysia,Evapco Shanghai Refrigeration Equipment Co Ltd,2352491.7600000002
Philippines,Hangzhou Yuhang Zhangshan Steel Cyl,2296897.8
Uganda,Ogeco,2295262.0
Qatar,"Hamilton Sundstrand Customer, Support Center (M) Sdn. Bhd.",2255370.13
Indonesia,Kukens Industries Vietnam Co. Ltd.,2248263.24
Qatar,"Hamilton Sundstrand Customer, Support Center Maastricht B.V.",2245863.74
Indonesia,Kbk Chem Engineering Pvt Ltd,2202121.1
Indonesia,Panwater Engineering Sdn. Bhd.,2132179.6
Malaysia,Smc Corporation,2091685.81
United States,Vrv Asia Pacific Pvt. Ltd.,2084583.0
Malaysia,Topway Xiamen Material Technology Co Ltd,2038341.2999999998
United States,Acerotek S A De C V,1946993.0
Malaysia,Sinro Air Conditioning Fogang Co Ltd,1854224.52
United States,Taylor Warthon Malaysia Sdn Bhd,1772251.14
Malaysia,China Kide Engineering Corporation,1742732.25
Nigeria,Tekfen Imalat Ve Muhendislik A S,1739631.4309999999
Indonesia,Pci Private Limited,1720507.25
Saudi Arabia,Inox India Pvt. Ltd.,1655384.4195915195
United States,Taylor Wharton Malaysia Sdn Bhd,1607810.44
Indonesia,Zhejiang Yuxi Rubber & Plastic Technology,1593800.18
United States,Sin Razon Social,1554291.0
Nigeria,Sdp Services Ltd,1476130.654
India,Hamilton Sundstrand,1435066.75
Vietnam,Chongqing Tonghui Kefa Gas Co Ltd,1420000.0
Malaysia,Nantong Cimc Energy Equipment Co Ltd,1384833.7
Malaysia,Bruker M Sdn Bhd,1322563.81
United States,Cryogas Equipment Pvt. Ltd.,1319735.98
Brazil,Z To Order And Na,1308791.46
Saudi Arabia,Inox India Limited,1282681.69
Vietnam,Sheng Huei Engineering Technology Co. Ltd.,1263923.2207402908
South Africa,Bnh Gas Tanks Llp,1260215.92
