product_description,value_norm_usd
"Ah-1417 Radiator ,  Hydraulic System Part ,  Ac220V ,  100% New#&Cn",130178460.0
".#&Heat Exchanger Ah-1417 ,  Hydraulic System Part ,  Ac220V ,  100% New",65089230.0
Heat Exchange Units - Plate Type,50801427.0
Spherical Tank; 1; 0;,12399072.53
Cold Box Complete With The Accessories   (Item #Pa-302)   Po No: 4500081498,11000000.0
Cooling Tower,8838150.11
777 Condenser Reheater,7314860.96
Tanks,6043722.45
Spherical Tank Materials And Accessories Equipment; 1; 0;,5779053.43
Part Of Hpal System (Sub Unit: Preheater),5719190.0
10 Sets - Liquid Cooling System,5365193.119999999
Empty Tanker,5323574.77
"Machinery, Plant Or Laboratory Equipment, Whether Or Not Electrically Heated (Excluding Furnaces, Ovens And Other Equipment Of Heading 85.14), For The Treatment Of Materials By A Process Involving A Change Of Temperature Such As Heating, Cooking, Roastin,  Heat Exchange Units, Plate Type",5247886.88
Empty Steel Cylinder Tanksemptysteelcylinders-20#Greywithqccvalvecontainer Ofironandsteel Usaequivalentpart.No:10504,4560298.27
(364-094-106-0) Exchr Generator Air-Oil,4535955.22
