dest_country,growth,avg_price,total_value,supplier_hhi,growth_z,avg_price_z,total_value_z,supplier_hhi_z,attractiveness
Vietnam,-0.04243795148742518,7499.558424146257,50915568.876513,0.008185849386391747,-0.3269390564408645,-0.47665270861082953,2.4235361024017505,-1.4664774652517798,3.086421802601836
United States,-1.0,11807.82925968779,59515578.52197786,0.22988202131686852,-0.3420661944611595,-0.24044976887532782,2.9457496503866567,-0.48207392299132323,2.8453076100414925
Nigeria,1.4530833319349628,42522.413205405406,18333737.858,0.12552528338816932,-0.30331347844123474,1.4434914914747623,0.4450879055447992,-0.9454519848731188,2.5307179034514453
Ghana,289.42487349263257,9435.918846153847,2863941.88,0.688751085078173,4.245936382159408,-0.3704908535360477,-0.49427581348709254,1.555454861863036,1.8257148532732315
Qatar,48.811501665657445,60067.527368421055,1216782.3761662762,0.49739872255954615,0.4448336851497839,2.405410484382823,-0.5942953534707097,0.7057877618721761,1.5501610541897213
Saudi Arabia,-0.9799739394132357,38159.931472868215,5543517.489591519,0.1882097645098572,-0.341749831690758,1.2043164142565288,-0.33156545107296204,-0.6671123783584003,1.198113509851209
Malaysia,-0.9776761913020693,474.1313658216783,26042566.61,0.07781046773049267,-0.34171353289125206,-0.8618249940632643,0.9131867774469802,-1.1573213786597263,0.86696962915219
United Arab Emirates,-0.9259552452116594,17882.535972222224,5083001.502,0.08896338360759112,-0.34089646846052907,0.09259883421957515,-0.3595291043359278,-1.10779878293628,0.49997204435939846
Senegal,44.15212635033502,53544.59,215116.86,0.6551412294048448,0.371226952726833,2.0477874284177386,-0.6551189251474191,1.4062161055435873,0.35767935045356536
Philippines,-0.9532233425905544,5542.665,11775279.15,0.07283998619351567,-0.34132723769709405,-0.5839402950177128,0.04684230671302547,-1.1793919430232587,0.30096671702147726
South Africa,22.450231104410655,30489.35968253968,2412496.180478407,0.34299384088657864,0.028390094063704605,0.7837737707019317,-0.521688696749848,0.020179566035391016,0.2702956019803973
Oman,-0.9550405561993047,18455.603333333333,715064.49,0.2828225037946463,-0.34135594522692425,0.12401751715014722,-0.6247608864437505,-0.2470008586876008,-0.5950984558329268
India,5.070679396394371,6585.7628048387105,9565727.62,0.283573889211456,-0.2461643098272963,-0.5267519757732514,-0.08732704791615861,-0.2436644615839906,-0.6165788719327158
Canada,-0.027174520827123284,13544.434561935484,1657915.96672,0.3147931178488303,-0.3266979315731651,-0.14523958056329123,-0.5675086465999957,-0.10504087151628337,-0.9344052872201687
South Sudan,1.8814714103190526,434.12848623036126,290161.13,0.23987910365950993,-0.2965459947068583,-0.8640181704252065,-0.6505620541544541,-0.4376836063490863,-1.3734426129374326
Thailand,0.7789016865639424,4377.270625,892956.75,0.3182237160677884,-0.31396389928458235,-0.6478335802437373,-0.6139588348085362,-0.08980789293389362,-1.4859484214029621
Uganda,-0.33240738577962053,236.35942352966964,3395870.666,0.47676982796681333,-0.3315198641921936,-0.8748609506917739,-0.4619758010378217,0.6141887201152799,-2.282545336037069
Namibia,5.530012865497076,150.0,172849.34,0.5005714267732719,-0.23890796461682062,-0.8795956459999921,-0.657685511987861,0.7198756066885302,-2.4960647292932037
Botswana,0.1287027123483226,16.01,477.16999999999996,0.5018277440398798,-0.32423545258903097,-0.8869417096768782,-0.6681523703031915,0.7254540664187219,-2.6047835989878227
Kenya,-0.4254653251476005,2645.189888888889,19468637.12,0.8748216063783834,-0.3329899519999657,-0.7427957071261924,0.5140017550225154,2.3816688586280224,-2.943452762731665
