dest_country,HSN 7311 – Tanks/Cylinders,HSN 8419 – Vaporizers & Heat-exchange
Vietnam,49357855.02191142,233684560.7937156
Malaysia,26042566.61,60462616.71
Brazil,0.0,74428546.93
Indonesia,0.0,65562379.68
United States,59515578.52197786,2441437.35
Kenya,19468637.12,0.0
Nigeria,18333737.858,0.0
Qatar,1216782.3761662762,15947473.35
Philippines,11775279.15,0.0
India,9565727.62,1837833.92
United Arab Emirates,5083001.502,4040811.7800000003
Saudi Arabia,5543517.489591519,202421.23
Uganda,3395870.666,0.0
Ghana,2863941.88,0.0
South Africa,2412496.180478407,0.0
