origin_country,HSN 7311 – Tanks/Cylinders,HSN 8419 – Vaporizers & Heat-exchange
China,66978015.9047661,185905377.65107045
Vietnam,13372489.902823491,139447139.55393353
India,68377549.67613888,6518803.83
Malaysia,15389415.46062,41634203.67966667
United States,6956579.34306,36003468.699999996
Mexico,10472057.23,5257845.88
Turkey,14650984.33757,209402.23
United Kingdom,683489.35251,6314351.17
Japan,3388101.609697,3341825.97558
Singapore,3144673.46506,1885135.64
Germany,875929.62284,4070040.54212
Spain,415656.0329,4373208.73398
France,302892.62145,4462675.12
South Korea,1724579.51376,2847555.5081649274
Italy,1628246.2052200001,2876294.09783
