month,commodity,value_usd
2024-09-01,HSN 7311 – Tanks/Cylinders,15940392.24829
2024-10-01,HSN 7311 – Tanks/Cylinders,18549474.89539
2024-11-01,HSN 7311 – Tanks/Cylinders,19024054.57829
2024-12-01,HSN 7311 – Tanks/Cylinders,20999626.58498
2025-01-01,HSN 7311 – Tanks/Cylinders,16489056.419448057
2025-02-01,HSN 7311 – Tanks/Cylinders,17127211.248339
2025-03-01,HSN 7311 – Tanks/Cylinders,15729221.375721
2025-04-01,HSN 7311 – Tanks/Cylinders,18874495.902904
2025-05-01,HSN 7311 – Tanks/Cylinders,29209912.779358
2025-06-01,HSN 7311 – Tanks/Cylinders,26834559.595386
2025-07-01,HSN 7311 – Tanks/Cylinders,18722138.039341
2025-08-01,HSN 7311 – Tanks/Cylinders,2577103.8899999997
2025-09-01,HSN 7311 – Tanks/Cylinders,0.0
