shipper,num_countries
Inox India Pvt. Ltd.,8
Vrv Asia Pacific Pvt. Ltd.,7
Cryolor Asia Pacific Pvt. Ltd.,6
Inox India Limited,6
Yilteks Energy Heat Machinery Manufacturing Industry And Foreign Trade Limited Company,6
Guven Bombe And Pressure Vessels Joint Stock Company,5
Karbonsan Dry Ice And Pressure Vessels Industry Trade Joint Stock Company,5
Md Ic Ve Foreign Trade Joint Stock Company,5
Smc Corporation,4
Industrias Gutierrez S.A. De C.V.,3
Elgi Equipment Ltd.,3
Cryogas Equipment Pvt. Ltd.,3
Gokceler Domestic And Foreign Trade Cooling Systems Joint Stock Company,3
Bharat Tanks And Vessels Llp,3
Empire Compressor Private Limited,3
