dest_country,shipper,value_usd
United States,Mcwane India Pvt Ltd,25927764.26616768
Kenya,"Jingmen Hongtu Special Aircraft Manufacturing Co., Ltd.",18204113.81
United States,Cryolor Asia Pacific Pvt. Ltd.,9337428.391810173
Nigeria,Tekfen Manufacturing And Engineering Joint Stock Company,5642747.53
United States,Inox India Pvt. Ltd.,5069893.49
Malaysia,Linde Malaysia Sdn Bhd,4885692.5
India,Chart Inc.,4806095.72
Malaysia,Pride Chem Industries Pte Ltd,3016694.17
Malaysia,Linde Malaysia Sdn. Bhd.,2901812.2
United States,Field Fastener Mexico S De Rl De Cv,2759299.45
Ghana,Bharat Tanks And Vessels Llp,2364150.59
Philippines,Hangzhou Yuhang Zhangshan Steel Cyl,2296897.8
Uganda,Ogeco,2295262.0
Malaysia,Smc Corporation,2091685.81
United States,Vrv Asia Pacific Pvt. Ltd.,2084583.0
United States,Acerotek S A De C V,1946993.0
United States,Taylor Warthon Malaysia Sdn Bhd,1772251.14
Nigeria,Tekfen Imalat Ve Muhendislik A S,1739631.4309999999
Saudi Arabia,Inox India Pvt. Ltd.,1655384.4195915195
United States,Taylor Wharton Malaysia Sdn Bhd,1607810.44
United States,Sin Razon Social,1554291.0
Nigeria,Sdp Services Ltd,1476130.654
Vietnam,Chongqing Tonghui Kefa Gas Co Ltd,1420000.0
Malaysia,Nantong Cimc Energy Equipment Co Ltd,1384833.7
United States,Cryogas Equipment Pvt. Ltd.,1319735.98
Saudi Arabia,Inox India Limited,1282681.69
South Africa,Bnh Gas Tanks Llp,1260215.92
Vietnam,Taylor Wharton Beijing Cryogenic Equipment Co Ltd,1236137.0
India,Wesmor Cyrogenics Llc,1223830.98
Vietnam,Rongwei Technology Co Ltd,1191164.3
Vietnam,Rongwei Technology Co Limited,1191164.3
Vietnam,Luxshare Precision Ltd.,1167633.36
Nigeria,Optech Engineering Pvt. Ltd.,1149770.02
United States,Aritas Cryogenic Industri Sanayi Ve Tic A S,1126449.47
Philippines,Lowa Tech Ltd,1070698.9
Vietnam,Messer Hai Phong Industrial Gases Co. Ltd.,1061808.48297
Nigeria,Ahs Makina Dondu Busra Bilgic,1038279.103
Philippines,Hangzhou Yuhang Zangshan Steel Cylineder Co Limited,989550.3
Philippines,Shanghai Qilong High Pressure,980101.9
Vietnam,Shijiangzhuang Enric Gas Equipment Co Ltd,974000.0
Vietnam,Vrv Asia Pacific Pvt. Ltd.,937687.74
Malaysia,Air Liquide Global E C Solutions Japan Ltd,906889.12
Malaysia,Industrial Company Ltd,895042.0
United Arab Emirates,Inox India Limited,852383.14
Qatar,Air Liquide Global E&C Solutions India Pvt. Ltd.,839882.19
Vietnam,Oriental Ocean Chemical Technology Pte Ltd,839200.0
Nigeria,Sharaf Shipping Agency Ltd,830760.625
United Arab Emirates,Cryolor Asia Pacific Pvt. Ltd.,815051.66
Saudi Arabia,Vrv Asia Pacific Pvt. Ltd.,785167.32
Nigeria,Nikkiso Cosmodyne India Pvt. Ltd.,774295.54
Vietnam,Guangxi Pingxiang City Feng Song Import & Export Trading Co. Ltd.,769070.0
United States,Mexicali Directo Al Cliente S De Rl De Cv,757600.0
Vietnam,"Xinxiang Chengde Energy Technology Equipment Co., Ltd.",745120.0
Vietnam,Fujian Unite Material Technology Co Ltd,720000.0
Saudi Arabia,Cryolor Asia Pacific Pvt. Ltd.,699925.65
Malaysia,Hangzhou Hangyang Cryogenic Vessel Co Ltd,694096.59
Vietnam,Tti Partners Spc,683708.4195
Canada,Inox India Pvt. Ltd.,676852.27
Vietnam,Weifang Golden Sail Gas Co Ltd,650000.0
United States,Yazaki Componentes De Mexico S De Rl De Cv,647654.32
Philippines,Hangzhou Xiangertai Import And Export Co Ltd,647081.0
Philippines,Hangzhou Xiangertai Importexport C,639443.6
India,Thermo Fisher Scientific Asheville Llc,632416.88
Vietnam,"Shijiazhuang Enric Gas Equipment Co., Ltd",625500.0
United States,Messer Hai Phong Industrial Gases Co. Ltd.,601250.0
Malaysia,Tomoe Shanghai Specialty Gases Co Ltd,584172.3
United Arab Emirates,Optech Engineering Pvt. Ltd.,579102.99
Malaysia,Linde India Ltd.,571335.38
Canada,Trinity Rail De Mexico S De Rl De Cv,566910.0
India,Technology Llc,556076.26
Vietnam,Cryolor Asia Pacific Pvt. Ltd.,551436.72
Vietnam,Thuy Thanh Chemical Gas Import Export And Trading Company Limited,550000.0
India,He24 Me Gaz A S,549890.0
South Africa,Vrv Asia Pacific Pvt. Ltd.,544473.890478407
Malaysia,China Kide Engineering Corporation,533337.45
Vietnam,Andritz China Ltd,510420.0
Malaysia,Asia Propel Sdn Bhd,508605.01999999996
Malaysia,Taylor Wharton Beijing Cryogenic Equipment Co Ltd,506316.16
United States,Taylorwharton Malaysia Sdn. Bhd.,494787.74
United States,Trinity Rail De Mexico S De Rl De Cv,493901.0
Saudi Arabia,Spark Engineers,488058.95
India,China Triumph International En,487079.62
