product_description,value_usd
Spherical Tank; 1; 0;,12399072.53
Tanks,6043722.45
Spherical Tank Materials And Accessories Equipment; 1; 0;,5779053.43
Empty Tanker,5323574.77
Empty Steel Cylinder Tanksemptysteelcylinders-20#Greywithqccvalvecontainer Ofironandsteel Usaequivalentpart.No:10504,4560298.27
Tanker,4127141.36
Steel Tank,4059334.0
Empty Steel Cylinder Tanksempty Steel Cylinder-20#Grey With Qcc Valvecntr Of Iron&Steelusa Equivalent Part# 10504.3,3476320.48
?Empty Steel Cylinder Tanksempty Steelcylinders-20# Grey With Qccvalve Container Of Iron And Steel,2986992.3152332553
Propane Storage Tank   (10000Mâ³ Volume - Disassembled),2855076.75
Lpg Storage Tank   (6000Mâ³ Volume - Dem-Onte),2787670.7800000003
Empty Steel Cylinder Tanksempty Steel Cylinder-20#Grey With Qcc Valvecntr Of Iron&Steelusa Equivalent Part No:10504.3,2388033.9899999998
"Lpg Liquefied Petroleum Gas Tank , Spherical , Steel Material , Capacity 3765 M3 , Outer Diamtr: 19388Mm , Total Height: 23750Mm , Disassembled Whole Tank. 100% New. Unit Price: 1191164.335Usd-Pce.",2382328.6
Lpg Sphere Tank 7500M3 1 Lot,2295262.0
2 Units Empty Tank For Refilling Ammonia Gas 99.9%,2014912.24
