month,commodity,value_norm_usd
2024-09-01,HSN 7311 – Tanks/Cylinders,15842157.914697787
2024-09-01,HSN 8419 – Vaporizers & Heat-exchange,231533330.28158334
2024-10-01,HSN 7311 – Tanks/Cylinders,18161646.193552583
2024-10-01,HSN 8419 – Vaporizers & Heat-exchange,31949144.93340767
2024-11-01,HSN 7311 – Tanks/Cylinders,18928820.45131397
2024-11-01,HSN 8419 – Vaporizers & Heat-exchange,15519923.174725339
2024-12-01,HSN 7311 – Tanks/Cylinders,20607148.39117949
2024-12-01,HSN 8419 – Vaporizers & Heat-exchange,19411649.689584587
2025-01-01,HSN 7311 – Tanks/Cylinders,16489056.419448057
2025-01-01,HSN 8419 – Vaporizers & Heat-exchange,21976321.06488
2025-02-01,HSN 7311 – Tanks/Cylinders,17055285.25130042
2025-02-01,HSN 8419 – Vaporizers & Heat-exchange,21587040.04423
2025-03-01,HSN 7311 – Tanks/Cylinders,15591513.63848247
2025-03-01,HSN 8419 – Vaporizers & Heat-exchange,25056232.265174005
2025-04-01,HSN 7311 – Tanks/Cylinders,18780091.40238876
2025-04-01,HSN 8419 – Vaporizers & Heat-exchange,30210941.57333
2025-05-01,HSN 7311 – Tanks/Cylinders,29122812.880271684
2025-05-01,HSN 8419 – Vaporizers & Heat-exchange,31957722.95193
2025-06-01,HSN 7311 – Tanks/Cylinders,26709322.940797374
2025-06-01,HSN 8419 – Vaporizers & Heat-exchange,23161247.244920656
2025-07-01,HSN 7311 – Tanks/Cylinders,18654574.32941288
2025-07-01,HSN 8419 – Vaporizers & Heat-exchange,7097100.12995
2025-08-01,HSN 7311 – Tanks/Cylinders,2577103.8899999997
2025-09-01,HSN 7311 – Tanks/Cylinders,0.0
